1,3,Mr. Jan Baptist Sheerlinck,male,29,0,0,9.5
1,3,Miss. Brigdet Delia McDermott,female,31,0,0,7.7875
0,1,Mr. Francisco M Carrau,male,28,0,0,47.1
1,2,Miss. Bertha Ilett,female,17,0,0,10.5
1,3,Mrs. Karl Alfred (Maria Mathilda Gustafsson) Backstrom,female,33,3,0,15.85
0,3,Mr. William Neal Ford,male,16,1,3,34.375
0,3,Mr. Selman Francis Slocovski,male,20,0,0,8.05
1,1,Miss. Mabel Helen Fortune,female,23,3,2,263
0,3,Mr. Francesco Celotti,male,24,0,0,8.05
0,3,Mr. Emil Christmann,male,29,0,0,8.05
0,3,Mr. Paul Edvin Andreasson,male,20,0,0,7.8542
0,1,Mr. Herbert Fuller Chaffee,male,46,1,0,61.175
0,3,Mr. Bertram Frank Dean,male,26,1,2,20.575
0,3,Mr. Daniel Coxon,male,59,0,0,7.25
0,3,Mr. Charles Joseph Shorney,male,22,0,0,8.05
0,1,Mr. George B Goldschmidt,male,71,0,0,34.6542
1,1,Mr. William Bertram Greenfield,male,23,0,1,63.3583
1,2,Mrs. John T (Ada Julia Bone) Doling,female,34,0,1,23
0,2,Mr. Sinai Kantor,male,34,1,0,26
0,3,Miss. Matilda Petranec,female,28,0,0,7.8958
0,3,Mr. Pastcho Petroff,male,29,0,0,7.8958
0,1,Mr. Richard Frasar White,male,21,0,1,77.2875
0,3,Mr. Gustaf Joel Johansson,male,33,0,0,8.6542
0,3,Mr. Anders Vilhelm Gustafsson,male,37,2,0,7.925
0,3,Mr. Stoytcho Mionoff,male,28,0,0,7.8958
1,3,Miss. Anna Kristine Salkjelsvik,female,21,0,0,7.65
1,3,Mr. Albert Johan Moss,male,29,0,0,7.775
0,3,Mr. Tido Rekic,male,38,0,0,7.8958
1,3,Miss. Bertha Moran,female,28,1,0,24.15
0,1,Mr. Walter Chamberlain Porter,male,47,0,0,52
0,3,Miss. Hileni Zabour,female,14.5,1,0,14.4542
0,3,Mr. David John Barton,male,22,0,0,8.05
0,3,Miss. Katriina Jussila,female,20,1,0,9.825
0,3,Miss. Malake Attalah,female,17,0,0,14.4583
0,3,Mr. Edvard Pekoniemi,male,21,0,0,7.925
0,3,Mr. Patrick Connors,male,70.5,0,0,7.75
0,2,Mr. William John Robert Turpin,male,29,1,0,21
0,1,Mr. Quigg Edmond Baxter,male,24,0,1,247.5208
0,3,Miss. Ellis Anna Maria Andersson,female,2,4,2,31.275
0,2,Mr. Stanley George Hickman,male,21,2,0,73.5
0,3,Mr. Leonard Charles Moore,male,19,0,0,8.05
0,2,Mr. Nicholas Nasser,male,32.5,1,0,30.0708
1,2,Miss. Susan Webber,female,32.5,0,0,13
0,1,Mr. Percival Wayland White,male,54,0,1,77.2875
1,3,Master. Elias Nicola-Yarred,male,12,1,0,11.2417
0,3,Mr. Martin McMahon,male,19,0,0,7.75
1,3,Mr. Fridtjof Arne Madsen,male,24,0,0,7.1417
1,3,Miss. Anna Peter,female,2,1,1,22.3583
0,3,Mr. Johan Ekstrom,male,45,0,0,6.975
0,3,Mr. Jozef Drazenoic,male,33,0,0,7.8958
0,3,Mr. Domingos Fernandeo Coelho,male,20,0,0,7.05
0,3,Mrs. Alexander A (Grace Charity Laury) Robins,female,47,1,0,14.5
1,2,Mrs. Leopold (Mathilde Francoise Pede) Weisz,female,29,1,0,26
0,2,Mr. Samuel James Hayden Sobey,male,25,0,0,13
0,2,Mr. Emile Richard,male,23,0,0,15.0458
1,1,Miss. Helen Monypeny Newsom,female,19,0,2,26.2833
0,1,Mr. Jacques Heath Futrelle,male,37,1,0,53.1
0,3,Mr. Olaf Elon Osen,male,16,0,0,9.2167
0,1,Mr. Victor Giglio,male,24,0,0,79.2
0,3,Mrs. Joseph (Sultana) Boulos,female,40,0,2,15.2458
1,2,Miss. Ellen Toomey,female,50,0,0,10.5
0,3,Mr. Maurice O'Connor,male,17,0,0,7.75
